"step_n","position","position_return","omega","epsilon","phi","knowledge","decision","decision_norm","entropy","delta_t","cosine_similarity","delta_h_over_delta_d","frobenius_norm","timestamp"
0,0.9997750042187183,0.0,0.15,0.1,0.0,0.0,0.5,0.5,,0.1,,,0.004967141530112327,"2025-07-18T17:59:58.224812Z"
1,0.9993250632792565,-0.04455853408749718,0.15,0.1,0.0,3.130058303436671E-4,0.49994466786392916,0.7070285297292811,-1.766808179003073E-8,0.1,-1.0000000000000002,,0.009934283060224654,"2025-07-18T17:59:58.324924Z"
2,0.998650278416428,-0.06685505863058838,0.15,0.1,0.0,9.585291857329354E-4,0.49986164823267865,0.8657857714941212,-1.480215007447613E-7,0.1,-1.0,0.0015701517459332705,0.014901424649629362,"2025-07-18T17:59:58.424932Z"
3,0.99775080145398,-0.08917629645233784,0.15,0.1,0.0,0.001992716740416107,0.4997509104283518,0.9995018208561092,-5.504135946421721E-7,0.1,-1.0,0.0036337373342684894,0.019868566465200754,"2025-07-18T17:59:58.524920Z"
4,0.9966268347704346,-0.11153220438264726,0.15,0.1,0.0,0.0034666983307575882,0.49961241142429563,1.1171673143408003,-1.451183943891335E-6,0.1,-0.9999999999999999,0.00650380380268958,0.02483570882367695,"2025-07-18T17:59:58.624983Z"
5,0.9952786312535538,-0.1339328011445544,0.15,0.1,0.0,0.005427133190462549,0.49944609577855065,1.2233880886490065,-3.1443098308827477E-6,0.1,-0.9999999999999996,0.010180196092840902,0.029802852236781478,"2025-07-18T17:59:58.724969Z"
6,0.993706494243441,-0.15638818544788,0.15,0.1,0.0,0.007917199733893595,0.49925189554751664,1.3208963570758034,-5.99227038374232E-6,0.1,-0.9999999999999993,0.014665072938872646,0.034769997456771645,"2025-07-18T17:59:58.824970Z"
7,0.9919107774642915,-0.17890855438801653,0.15,0.1,0.0,0.010977365072617427,0.49902973017953767,1.4114692245497282,-1.0427127924352657E-5,0.1,-0.999999999999997,0.01996196608388575,0.03973714552252145,"2025-07-18T17:59:58.924968Z"
8,0.9898918849448046,-0.20150422222190248,0.15,0.1,0.0,0.014645955817026872,0.49877950638802826,1.4963385183179863,-1.6951832235772668E-5,0.1,-0.9999999999999911,0.026075475365717603,0.04470429780624874,"2025-07-18T17:59:59.024982Z"
9,0.9876502709272803,-0.22418563959523066,0.15,0.1,0.0,0.01895958842042379,0.4985011180036967,1.5763989471776314,-2.614175470748493E-5,0.1,-0.9999999999999775,0.03301115631594119,0.04967145606099923,"2025-07-18T17:59:59.124970Z"
10,0.9851864397654158,-0.24696341329858068,0.15,0.1,0.0,0.02395350223577995,0.4981944458053396,1.652324045648558,-3.864646061923414E-5,0.1,-0.9999999999999482,0.04077547941659155,0.05463862246900263,"2025-07-18T17:59:59.224995Z"
11,0.982500945810828,-0.26984832663322333,0.15,0.1,0.0,0.029661824134964633,0.4978593573286061,1.7246353968424073,-5.51917291972136E-5,0.1,-0.9999999999998894,0.049375820795941244,0.05960579969101993,"2025-07-18T17:59:59.324966Z"
12,0.9795943932883275,-0.29285136047159865,0.15,0.1,0.0,0.0361177839119948,0.49749570665204035,1.793746267258759,-7.658183253260383E-5,0.1,-0.9999999999997796,0.058820468965972934,0.0645729909168047,"2025-07-18T17:59:59.424931Z"
13,0.9764674361599701,-0.31598371510239076,0.15,0.1,0.0,0.04335389352519993,0.49710333415962954,1.8599903412633445,-1.0370208600562247E-4,0.1,-0.9999999999995858,0.06911864108104733,0.06954019991680603,"2025-07-18T17:59:59.524970Z"
14,0.9731207779779179,-0.33925683295536124,0.15,0.1,0.0,0.05140209926324366,0.4966820662789886,1.923641336914283,-1.375216845230927E-4,0.1,-0.9999999999992587,0.08028050575803285,0.07450743109524602,"2025-07-18T17:59:59.624945Z"
15,0.969555171726143,-0.3626824223071105,0.15,0.1,0.0,0.0602939133145123,0.49623171519421005,1.984926807068342,-1.7909684067032584E-4,0.1,-0.9999999999987254,0.09231721106584731,0.0794746895447095,"2025-07-18T17:59:59.724932Z"
16,0.9657714196510101,-0.3862724820762585,0.15,0.1,0.0,0.07006052947051208,0.49575207853231246,2.0440381018635723,-2.2957424281701454E-4,0.1,-0.9999999999978847,0.10524091704538131,0.08444198110239182,"2025-07-18T17:59:59.824932Z"
