"step_n","position","position_return","omega","epsilon","phi","knowledge","decision","decision_norm","entropy","delta_t","cosine_similarity","delta_h_over_delta_d","frobenius_norm","lagrangian","classical_lagrangian","timestamp"
0,-5.1671573677136706E-5,0.0,0.15,0.1,0.0,2.5666001953796464E-7,0.49999993583499514,0.49999993583499514,,0.1,-1.0,,0.004967141530112327,,,"2025-07-24T10:10:57.368095Z"
1,-1.4765444535713712E-4,-0.9648140628935584,0.15,0.1,0.0,1.4001853376596324E-6,0.4999997524798631,0.707106431140213,-3.4167429863827306E-13,0.1,-0.9999999999999998,,0.009934283060224654,2.475201367942148E-7,4.603903121505919E-7,"2025-07-24T10:10:57.468211Z"
2,-2.9159395733990845E-4,-1.460966946240945,0.15,0.1,0.0,4.223552205202262E-6,0.49999939038274943,0.8660243478963875,-2.8633663050864677E-12,0.1,-0.9999999999999999,6.964131751304371E-6,0.014901424590338027,6.096172506515846E-7,1.0349726013374006E-6,"2025-07-24T10:10:57.568234Z"
3,-4.834483635337561E-4,-1.9761679244853645,0.15,0.1,0.0,9.679650893566831E-6,0.49999879004363834,0.9999975800872767,-1.36798594725467E-11,0.1,-1.0,1.801730549892844E-5,0.019868566120456177,1.2099563616887458E-6,1.8377762826974052E-6,"2025-07-24T10:10:57.668215Z"
4,-7.231620167381658E-4,-2.5189129672333914,0.15,0.1,0.0,1.8854242397747344E-5,0.4999978920316168,1.1180292751892955,-4.720981746538159E-11,0.1,-1.0000000000000002,3.73379834448233E-5,0.02483570765059012,2.1079683832433464E-6,2.867248439477607E-6,"2025-07-24T10:10:57.768254Z"
5,-0.0010106653808571453,-3.0991525845090835,0.15,0.1,0.0,3.295051524685688E-5,0.49999663700212027,1.2247366337627776,-1.3169172779751063E-10,0.1,-1.0,6.731468110063391E-5,0.029802849180765024,3.362997879704254E-6,4.121417968225815E-6,"2025-07-24T10:10:57.868256Z"
6,-0.0013458750461629032,-3.7289708249587954,0.15,0.1,0.0,5.327787343416633E-5,0.49999496571416124,1.322862336063937,-3.160936435318191E-10,0.1,-1.0,1.1033521466984843E-4,0.034769990711030783,5.034285838380437E-6,5.597897964771217E-6,"2025-07-24T10:10:57.968256Z"
7,-0.0017286937476058695,-4.4235402595294255,0.15,0.1,0.0,8.12432029404886E-5,0.499992819047535,1.4141932515723614,-6.784140387304578E-10,0.1,-0.9999999999999999,1.6878279597336892E-4,0.039737132241476764,7.180952464054277E-6,7.2938886104025665E-6,"2025-07-24T10:10:58.068249Z"
8,-0.0021590103861659493,-5.2025233430998234,0.15,0.1,0.0,1.1834376004680634E-4,0.4999901380199974,1.499970414059992,-1.3353562783599819E-9,0.1,-1.0,2.4503375307387526E-4,0.04470427377225144,9.861979999965985E-6,9.20618055529713E-6,"2025-07-24T10:10:58.168254Z"
9,-0.002636700053243013,-6.0922114503794775,0.15,0.1,0.0,1.661611913939215E-4,0.499986863804415,1.5810972897863507,-2.453356292066853E-9,0.1,-1.0000000000000002,3.414558343999708E-4,0.04967141530358768,1.3136195578963719E-5,1.1331158795938611E-5,"2025-07-24T10:10:58.268254Z"
